session,partial_r_mean,partial_r_std,method,n_splits,n_trials
Cori_2016-12-14,0.1827710293717046,0.06697917719761719,PFC_split,100,140
Forssmann_2017-11-01,0.2703639582016501,0.050804138374889944,PFC_split,100,123
Forssmann_2017-11-02,0.17504544860632504,0.07501754621861689,PFC_split,100,150
Hench_2017-06-15,0.04768352843407968,0.0759290108950919,PFC_split,100,157
