session,delta_aic,D,shapiro_p,n_trials,n_units_pfc,pc1_var,pc2_var
Cori_2016-12-14,-2.608494150655865,1.0439228313196554,0.31682212746977967,214,316,0.4014854417006482,0.24620956136397054
Forssmann_2017-11-01,-3.0715599255435704,1.0554373669751038,0.17351585984208345,249,411,0.4075768857175807,0.22929105530968563
Forssmann_2017-11-02,-2.801316156995169,1.2484647963437923,0.8254599726321554,254,157,0.3801300271101943,0.27113883738453054
Hench_2017-06-15,-2.1859882186496353,0.8826689443468704,0.7941333598661092,250,136,0.4715657559577967,0.2461440605911329
